post_id,time_of_day,day_of_week,full_datelikes_count
1133596,day,monday,2023-07-31 15:47:38,304
1133495,day,monday,2023-07-31 13:11:21,770
1133340,morning,monday,2023-07-31 09:30:00,316
1133303,morning,monday,2023-07-31 07:00:01,548
1132765,night,sunday,2023-07-30 04:26:08,608
1132616,day,saturday,2023-07-29 16:31:21,492
1132568,day,saturday,2023-07-29 14:15:34,387
1132510,day,saturday,2023-07-29 12:00:20,906
1132466,morning,saturday,2023-07-29 10:30:03,502
1132162,day,friday,2023-07-28 14:48:19,864
1132002,morning,friday,2023-07-28 10:05:23,555
1131911,night,friday,2023-07-28 04:08:33,641
1131685,day,thursday,2023-07-27 16:30:29,481
1131633,day,thursday,2023-07-27 15:15:28,769
1131442,morning,thursday,2023-07-27 10:16:44,397
1131399,morning,thursday,2023-07-27 09:00:02,411
1131386,morning,thursday,2023-07-27 07:01:57,573
1131086,day,wednesday,2023-07-26 17:30:23,296
1130879,day,wednesday,2023-07-26 13:38:00,647
1130877,day,wednesday,2023-07-26 13:35:51,659
1130855,day,wednesday,2023-07-26 13:02:56,603
1130744,morning,wednesday,2023-07-26 10:00:02,474
1130695,morning,wednesday,2023-07-26 07:00:18,467
1130397,day,tuesday,2023-07-25 17:20:00,799
1130344,day,tuesday,2023-07-25 16:02:58,456
1130085,morning,tuesday,2023-07-25 09:30:00,516
1130033,morning,tuesday,2023-07-25 07:02:38,432
1129804,day,monday,2023-07-24 17:00:43,392
1129766,day,monday,2023-07-24 16:00:20,699
1129706,day,monday,2023-07-24 15:05:14,675
1129479,morning,monday,2023-07-24 10:20:29,515
1129320,night,monday,2023-07-24 04:51:44,518
1129186,day,sunday,2023-07-23 16:30:00,695
1129152,day,sunday,2023-07-23 15:00:01,641
1129105,day,sunday,2023-07-23 12:00:02,704
1129052,morning,sunday,2023-07-23 10:30:00,616
1129028,morning,sunday,2023-07-23 09:00:01,578
1128795,day,saturday,2023-07-22 16:57:58,502
1128788,day,saturday,2023-07-22 16:46:05,335
1128726,day,saturday,2023-07-22 15:00:34,409
1128664,day,saturday,2023-07-22 13:31:01,547
1128607,morning,saturday,2023-07-22 11:03:23,447
1128558,morning,saturday,2023-07-22 08:35:53,619
1128354,day,friday,2023-07-21 16:00:51,219
1128283,day,friday,2023-07-21 12:51:14,1504
1128232,morning,friday,2023-07-21 10:30:23,367
1128190,morning,friday,2023-07-21 08:30:00,429
1127969,day,thursday,2023-07-20 17:00:23,261
1127939,day,thursday,2023-07-20 15:14:57,355
1127801,morning,thursday,2023-07-20 11:09:02,542
1127709,morning,thursday,2023-07-20 07:00:01,734
1127220,morning,wednesday,2023-07-19 07:00:01,1256
1126971,day,tuesday,2023-07-18 13:01:18,690
1126791,morning,tuesday,2023-07-18 09:30:00,940
1126763,morning,tuesday,2023-07-18 07:00:01,345
1126537,day,monday,2023-07-17 16:05:38,499
1126472,day,monday,2023-07-17 14:48:28,1047
1126411,day,monday,2023-07-17 12:46:43,601
1126113,day,sunday,2023-07-16 16:00:01,479
1126089,day,sunday,2023-07-16 13:15:00,469
1125821,day,saturday,2023-07-15 15:00:37,1029
1125775,day,saturday,2023-07-15 12:30:24,910
1125753,morning,saturday,2023-07-15 10:30:36,397
1125511,day,friday,2023-07-14 13:30:26,642
1125443,morning,friday,2023-07-14 10:36:43,458
1125382,morning,friday,2023-07-14 07:00:21,333
1125246,evening,thursday,2023-07-13 19:19:12,600
